x,y
49.945129,17.506128
49.984390,17.537525
50.023630,17.568946
50.062851,17.600393
50.102051,17.631864
50.141232,17.663359
50.180394,17.694879
50.219535,17.726424
50.258657,17.757993
50.297759,17.789587
50.336841,17.821206
50.375903,17.852849
50.414945,17.884516
50.453967,17.916208
50.492969,17.947925
50.531952,17.979666
50.570914,18.011431
50.609857,18.043221
50.648779,18.075036
50.687682,18.106875
50.726564,18.138738
50.765427,18.170626
50.804269,18.202538
50.843091,18.234475
50.881894,18.266436
50.920676,18.298422
50.959438,18.330431
50.998180,18.362466
51.036902,18.394524
51.075603,18.426607
51.114285,18.458714
51.152946,18.490845
51.191587,18.523001
51.230208,18.555181
51.268809,18.587385
51.307389,18.619614
51.345949,18.651866
51.384489,18.684143
51.423009,18.716445
51.461508,18.748770
51.499987,18.781119
51.538446,18.813493
51.576884,18.845891
51.615302,18.878313
51.653699,18.910759
51.692077,18.943230
51.730433,18.975724
51.768770,19.008242
51.807085,19.040785
51.845381,19.073352
51.883656,19.105942
51.921910,19.138557
51.960144,19.171196
51.998358,19.203859
52.036550,19.236545
52.074723,19.269256
52.112875,19.301991
52.151006,19.334750
52.189116,19.367532
52.227206,19.400339
52.265276,19.433170
52.303325,19.466024
52.341353,19.498902
52.379360,19.531805
52.417347,19.564731
52.455313,19.597681
52.493258,19.630655
52.531183,19.663652
52.569087,19.696674
52.606970,19.729719
52.644832,19.762788
52.682674,19.795881
52.720494,19.828998
52.758294,19.862139
52.796073,19.895303
52.833832,19.928491
52.871569,19.961702
52.909286,19.994938
52.946981,20.028197
52.984656,20.061479
53.022310,20.094786
53.059943,20.128116
53.097554,20.161470
53.135145,20.194847
53.172715,20.228248
53.210264,20.261672
53.247792,20.295121
53.285299,20.328592
53.322785,20.362088
53.360250,20.395606
53.397694,20.429149
53.435116,20.462715
53.472518,20.496304
53.509898,20.529917
53.547258,20.563553
53.584596,20.597213
53.621913,20.630896
53.659209,20.664603
53.696483,20.698333
53.733737,20.732087
53.770969,20.765864
53.808180,20.799664
53.845370,20.833488
53.882538,20.867335
53.919686,20.901205
53.956811,20.935099
53.993916,20.969016
54.030999,21.002957
54.068061,21.036921
54.105102,21.070908
54.142121,21.104918
54.179119,21.138951
54.216096,21.173008
54.253051,21.207088
54.289984,21.241191
54.326897,21.275318
54.363787,21.309467
54.400657,21.343640
54.437504,21.377836
54.474331,21.412055
54.511136,21.446297
54.547919,21.480563
54.584681,21.514851
54.621421,21.549163
54.658139,21.583497
54.694837,21.617855
54.731512,21.652236
54.768166,21.686639
54.804798,21.721066
54.841409,21.755516
54.877997,21.789989
54.914565,21.824485
54.951110,21.859003
54.987634,21.893545
55.024136,21.928110
55.060617,21.962698
55.097075,21.997308
55.133512,22.031941
55.169928,22.066598
55.206321,22.101277
55.242692,22.135979
55.279042,22.170704
55.315370,22.205452
55.351676,22.240222
55.387961,22.275016
55.424223,22.309832
55.460463,22.344671
55.496682,22.379532
55.532879,22.414417
55.569053,22.449324
55.605206,22.484254
55.641337,22.519207
55.677446,22.554182
55.713533,22.589180
55.749598,22.624201
55.785641,22.659244
55.821661,22.694310
55.857660,22.729398
55.893637,22.764510
55.929592,22.799644
55.965524,22.834800
56.001435,22.869979
56.037323,22.905180
56.073189,22.940405
56.109033,22.975651
56.144855,23.010920
56.180655,23.046212
56.216433,23.081526
56.252188,23.116863
56.287921,23.152222
56.323632,23.187603
56.359321,23.223007
56.394988,23.258433
56.430632,23.293882
56.466254,23.329353
56.501853,23.364847
56.537431,23.400363
56.572986,23.435901
56.608518,23.471462
56.644029,23.507044
56.679517,23.542650
56.714982,23.578277
56.750425,23.613927
56.785846,23.649599
56.821244,23.685293
56.856620,23.721010
56.891974,23.756749
56.927305,23.792510
56.962613,23.828293
56.997899,23.864098
57.033163,23.899926
57.068404,23.935775
57.103622,23.971647
57.138818,24.007541
57.173991,24.043457
57.209142,24.079395
57.244270,24.115355
57.279376,24.151337
57.314459,24.187342
57.349519,24.223368
57.384557,24.259417
57.419572,24.295487
57.454564,24.331579
57.489534,24.367694
57.524481,24.403830
57.559405,24.439988
57.594306,24.476168
57.629185,24.512371
57.664041,24.548595
57.698874,24.584841
57.733685,24.621108
57.768473,24.657398
57.803237,24.693710
57.837979,24.730043
57.872699,24.766398
57.907395,24.802775
57.942068,24.839174
57.976719,24.875595
58.011347,24.912037
58.045952,24.948501
58.080533,24.984987
58.115092,25.021495
58.149628,25.058024
58.184141,25.094575
58.218631,25.131148
58.253099,25.167742
58.287543,25.204358
58.321964,25.240996
58.356362,25.277655
58.390737,25.314336
58.425089,25.351038
58.459417,25.387762
58.493723,25.424508
58.528006,25.461275
58.562265,25.498064
58.596502,25.534874
58.630715,25.571706
58.664905,25.608559
58.699072,25.645433
58.733216,25.682329
58.767337,25.719247
58.801434,25.756186
58.835508,25.793147
58.869559,25.830128
58.903587,25.867132
58.937591,25.904156
58.971573,25.941202
59.005530,25.978269
59.039465,26.015358
